id_produk,id_warung,nama_produk,harga_jual,harga_pokok,kategori_produk,status
PRD-005-004,WRG-005,Minyak Goreng 1L,18000,15500,Sembako,Aktif
PRD-005-005,WRG-005,Rokok Sampoerna 16,28000,25500,Rokok,Aktif
PRD-005-006,WRG-005,Indomie Kuah,3500,2700,Mie & Snack,Aktif
PRD-005-007,WRG-005,Gas LPG 3kg,22000,19000,Gas & Energi,Aktif
PRD-005-008,WRG-005,Aqua 1500ml,7000,5000,Minuman,Aktif
PRD-005-009,WRG-005,Rokok Gudang Garam 12,25000,22500,Rokok,Aktif
PRD-005-010,WRG-005,Garam 250gr,3500,2000,Sembako,Aktif
PRD-005-011,WRG-005,Aqua 600ml,4000,2800,Minuman,Aktif
PRD-005-012,WRG-005,Telur 1kg,28000,24500,Sembako,Aktif
PRD-005-013,WRG-005,Teh Botol 350ml,5000,3500,Minuman,Aktif
PRD-005-014,WRG-005,Gula Pasir 1kg,17000,14500,Sembako,Aktif
PRD-005-015,WRG-005,Rokok Surya 16,22000,19800,Rokok,Aktif
PRD-005-016,WRG-005,Shampo Sunsilk Sachet,1000,650,Kebersihan,Aktif
PRD-005-017,WRG-005,Chitato 68gr,10000,7800,Mie & Snack,Aktif
PRD-005-018,WRG-005,Rinso 800gr,22000,17500,Kebersihan,Aktif
PRD-005-019,WRG-005,Supermi 1 dus (40pcs),95000,78000,Mie & Snack,Aktif
PRD-005-020,WRG-005,Kopi Kapal Api Sachet,2000,1400,Minuman,Aktif
PRD-005-021,WRG-005,Minyak Goreng 2L,34000,29500,Sembako,Aktif
PRD-005-022,WRG-005,Pembalut Laurier,15000,11000,Kebersihan,Aktif
PRD-005-023,WRG-005,Indomie Goreng,3500,2700,Mie & Snack,Aktif
PRD-005-024,WRG-005,Mie Sedaap Goreng,3500,2600,Mie & Snack,Aktif
PRD-005-025,WRG-005,Sunlight 200ml,8000,6000,Kebersihan,Aktif
PRD-005-026,WRG-005,Tisu Paseo 250 lembar,8000,6000,Kebersihan,Aktif
PRD-005-027,WRG-005,Tepung Terigu 1kg,12000,10000,Sembako,Aktif
PRD-005-028,WRG-005,Pocari Sweat 500ml,9000,7000,Minuman,Aktif
PRD-005-029,WRG-005,Oreo 137gr,12000,9500,Mie & Snack,Aktif
