id_produk,id_warung,nama_produk,kategori_produk,margin_pct,qty_terjual,revenue_total,cluster,kuadran,rekomendasi
PRD-003-006,WRG-003,Sunlight 200ml,Kebersihan,25.0,103.0,824000.0,3,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-003-007,WRG-003,Beras 10kg,Sembako,13.1,145.0,9354000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-003-008,WRG-003,Minyak Goreng 2L,Sembako,13.24,116.0,3874000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-003-010,WRG-003,Susu Kental Manis 385g,Minuman,17.86,437.0,5494000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-003-011,WRG-003,Tepung Terigu 1kg,Sembako,16.67,112.0,1344000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-003-012,WRG-003,Oreo 137gr,Mie & Snack,20.83,477.0,5180000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-003-013,WRG-003,Pembalut Laurier,Kebersihan,26.67,93.0,1395000.0,3,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-003-014,WRG-003,Chitato 68gr,Mie & Snack,22.0,446.0,4364000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-003-015,WRG-003,Teh Botol 350ml,Minuman,30.0,490.0,2450000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-003-016,WRG-003,Supermi 1 dus (40pcs),Mie & Snack,17.89,437.0,15319000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-003-017,WRG-003,Garam 250gr,Sembako,42.86,118.0,413000.0,0,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-003-018,WRG-003,Shampo Sunsilk Sachet,Kebersihan,35.0,93.0,93000.0,0,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-003-021,WRG-003,Indomie Kuah,Mie & Snack,22.86,494.0,1729000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-003-022,WRG-003,Tisu Paseo 250 lembar,Kebersihan,25.0,93.0,744000.0,3,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-003-023,WRG-003,Rokok Gudang Garam 12,Rokok,10.0,217.0,5425000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-004-001,WRG-004,Rokok Sampoerna 16,Rokok,8.93,218.0,6104000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-004-002,WRG-004,Mie Sedaap Goreng,Mie & Snack,25.71,387.0,1354500.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-004-003,WRG-004,Rokok Gudang Garam 12,Rokok,10.0,221.0,5525000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-004-006,WRG-004,Indomie Goreng,Mie & Snack,22.86,419.0,1466500.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-004-007,WRG-004,Telur 1/4kg,Sembako,15.0,205.0,1640000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-004-008,WRG-004,Beras 10kg,Sembako,13.1,197.0,11841908.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-004-009,WRG-004,Sunlight 200ml,Kebersihan,25.0,156.0,1248000.0,3,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-004-010,WRG-004,Pocari Sweat 500ml,Minuman,22.22,336.0,3010000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-004-011,WRG-004,Minyak Goreng 1L,Sembako,13.89,188.0,3384000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-004-012,WRG-004,Susu Kental Manis 385g,Minuman,17.86,365.0,4902000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-004-013,WRG-004,Aqua 600ml,Minuman,30.0,420.0,1680000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-004-014,WRG-004,Kopi Kapal Api Sachet,Minuman,30.0,371.0,742000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-004-015,WRG-004,Gula Pasir 1kg,Sembako,14.71,205.0,3485000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-004-016,WRG-004,Aqua 1500ml,Minuman,28.57,363.0,2615000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-004-017,WRG-004,Indomie Kuah,Mie & Snack,22.86,443.0,1550500.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-004-018,WRG-004,Shampo Sunsilk Sachet,Kebersihan,35.0,164.0,164000.0,0,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-004-019,WRG-004,Garam 250gr,Sembako,42.86,222.0,777000.0,0,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-005-001,WRG-005,Susu Kental Manis 385g,Minuman,17.86,234.0,2912000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-005-002,WRG-005,Beras 10kg,Sembako,13.1,91.0,5425000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-005-003,WRG-005,Telur 1/4kg,Sembako,15.0,111.0,888000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-005-004,WRG-005,Minyak Goreng 1L,Sembako,13.89,95.0,1710000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-005-005,WRG-005,Rokok Sampoerna 16,Rokok,8.93,156.0,4368000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-005-006,WRG-005,Indomie Kuah,Mie & Snack,22.86,255.0,892500.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-005-007,WRG-005,Gas LPG 3kg,Gas & Energi,13.64,170.0,3740000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-005-008,WRG-005,Aqua 1500ml,Minuman,28.57,232.0,1624000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-005-009,WRG-005,Rokok Gudang Garam 12,Rokok,10.0,155.0,3875000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-005-010,WRG-005,Garam 250gr,Sembako,42.86,107.0,374500.0,0,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-005-011,WRG-005,Aqua 600ml,Minuman,30.0,287.0,1196000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-005-012,WRG-005,Telur 1kg,Sembako,12.5,113.0,3164000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-005-013,WRG-005,Teh Botol 350ml,Minuman,30.0,240.0,1200000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-005-014,WRG-005,Gula Pasir 1kg,Sembako,14.71,106.0,1802000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-005-015,WRG-005,Rokok Surya 16,Rokok,10.0,130.0,2860000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-005-016,WRG-005,Shampo Sunsilk Sachet,Kebersihan,35.0,83.0,83000.0,0,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-005-017,WRG-005,Chitato 68gr,Mie & Snack,22.0,226.0,2224000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-005-018,WRG-005,Rinso 800gr,Kebersihan,20.45,87.0,1914000.0,3,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-005-019,WRG-005,Supermi 1 dus (40pcs),Mie & Snack,17.89,231.0,8395000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-005-020,WRG-005,Kopi Kapal Api Sachet,Minuman,30.0,239.0,496000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-005-021,WRG-005,Minyak Goreng 2L,Sembako,13.24,101.0,3308000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-005-022,WRG-005,Pembalut Laurier,Kebersihan,26.67,85.0,1275000.0,3,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-005-023,WRG-005,Indomie Goreng,Mie & Snack,22.86,232.0,812000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-005-024,WRG-005,Mie Sedaap Goreng,Mie & Snack,25.71,243.0,850500.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-005-025,WRG-005,Sunlight 200ml,Kebersihan,25.0,104.0,832000.0,3,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-005-026,WRG-005,Tisu Paseo 250 lembar,Kebersihan,25.0,92.0,736000.0,3,Cash Cow,Tingkatkan promosi untuk mendorong volume penjualan.
PRD-005-027,WRG-005,Tepung Terigu 1kg,Sembako,16.67,100.0,1200000.0,2,Dog,Pertimbangkan kurangi stok atau hapus dari katalog.
PRD-005-028,WRG-005,Pocari Sweat 500ml,Minuman,22.22,269.0,2409000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
PRD-005-029,WRG-005,Oreo 137gr,Mie & Snack,20.83,245.0,2780000.0,1,Star,"Pertahankan stok, prioritaskan display dan promosi."
